Imagen|Piezas del Vehículo|Tipos de Daño|Sugerencia
226.jpg|['Faros derecho']|['Rotura']|['Reemplazar']
227.jpg|['Rueda ']|['Rotura']|['Reparar']
228.jpg|['Puerta delantera izquierda']|['Rayón']|['Reparar']
229.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Rueda ']|['Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reparar']
23.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
230.jpg|['Faros izquierdo']|['Rotura']|['Reemplazar']
231.jpg|['Parachoques delantero', 'Guardabarros delantero derecho ']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
232.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
233.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
234.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
235.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
236.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
237.jpg|['Rueda ']|['Rotura']|['Reparar']
238.jpg|['Guardabarros trasero derecho']|['Rayón']|['Reparar']
239.jpg|['Guardabarros delantero izquierdo ', 'Faros izquierdo']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
24.jpg|['Rueda ']|['Rotura']|['Reemplazar']
240.jpg|['Guardabarros trasero izquierdo', 'Rueda ']|['Abolladura', 'Rotura']|['Reparar', 'Reparar']
241.jpg|['Parachoques delantero', 'Capó ', 'Guardabarros delantero derecho ', 'Faros derecho']|['Abolladura', 'Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
242.jpg|['Parachoques trasero', 'Guardabarros trasero derecho', 'Puerta trasera derecha', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar', 'Reparar']
243.jpg|['Ventana trasera derecha']|['Rotura']|['Reemplazar']
244.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
245.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ', 'Capó ', 'Espejo lateral izquierdo', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
246.jpg|['Guardabarros delantero derecho ']|['Rayón']|['Reparar']
247.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
248.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
249.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
25.jpg|['Guardabarros delantero derecho ']|['Deformación']|['Reparar']
250.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
251.jpg|['Parachoques delantero', 'Capó ', 'Guardabarros delantero derecho ', 'Faros derecho']|['Abolladura', 'Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
252.jpg|['Puerta trasera izquierda']|['Abolladura']|['Reparar']
253.jpg|['Parachoques delantero']|['Rotura']|['Reemplazar']
254.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
255.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
256.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
257.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
258.jpg|['Guardabarros trasero derecho', 'Parachoques trasero', 'Luz trasera derecho']|['Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
259.jpg|['Rueda ']|['Rotura']|['Reparar']
26.jpg|['Faros derecho', 'Guardabarros delantero derecho ', 'Parachoques delantero']|['Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reparar', 'Reparar']
260.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
261.jpg|['Puerta trasera izquierda']|['Abolladura']|['Reparar']
262.jpg|['Guardabarros trasero derecho', 'Puerta trasera derecha']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
263.jpg|['Puerta trasera derecha', 'Puerta delantera derecha', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar']
264.jpg|['Guardabarros delantero izquierdo ']|['Abolladura']|['Reparar']
265.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
266.jpg|['Ventanilla trasera izquierda      ']|['Rotura']|['Reemplazar']
267.jpg|['Faros izquierdo', 'Parachoques delantero']|['Rotura', 'Rotura']|['Reemplazar', 'Reemplazar']
268.jpg|['Luz trasera derecho']|['Rotura']|['Reemplazar']
269.jpg|['Guardabarros trasero derecho', 'Puerta trasera derecha']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
27.jpg|['Rueda ']|['Rotura']|['Reparar']
270.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
271.jpg|['Rueda ']|['Rotura']|['Reparar']
272.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
273.jpg|['Ventana delantera derecha']|['Rotura']|['Reemplazar']
274.jpg|['Rueda ', 'Guardabarros delantero derecho ', 'Parachoques delantero']|['Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reemplazar', 'Reparar']
275.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
276.jpg|['Guardabarros delantero izquierdo ', 'Faros izquierdo', 'Parachoques delantero']|['Abolladura', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
277.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
278.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
279.jpg|['Parachoques delantero']|['Fractura']|['Reparar']
28.jpg|['Puerta delantera izquierda', 'Guardabarros delantero izquierdo ']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
280.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
281.jpg|['Parachoques trasero', 'Guardabarros trasero derecho']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
282.jpg|['Rueda ']|['Rotura']|['Reparar']
283.jpg|['Guardabarros trasero derecho', 'Parachoques trasero', 'Luz trasera derecho']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
284.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
285.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
286.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
287.jpg|['Rueda ']|['Rotura']|['Reemplazar']
288.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero']|['Abolladura', 'Fractura']|['Reparar', 'Reparar']
289.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
29.jpg|['Parachoques delantero', 'Faros derecho']|['Deformación', 'Rotura']|['Reparar', 'Reemplazar']
290.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
291.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
292.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
293.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
294.jpg|['Rueda ']|['Rotura']|['Reparar']
295.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
296.jpg|['Puerta delantera derecha']|['Rayón']|['Reparar']
297.jpg|['Guardabarros delantero derecho ', 'Capó ']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
298.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
299.jpg|['Parachoques trasero', 'Luz trasera izquierdo']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
3.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
30.jpg|['Capó ', 'Guardabarros delantero derecho ', 'Parachoques delantero', 'Faros derecho']|['Abolladura', 'Deformación', 'Fractura', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
300.jpg|['Puerta delantera izquierda']|['Abolladura']|['Reparar']
301.jpg|['Luz trasera derecho']|['Rotura']|['Reemplazar']
302.jpg|['Parachoques delantero']|['Rotura']|['Reemplazar']
303.jpg|['Parachoques trasero']|['Rotura']|['Reparar']
304.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
305.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
306.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
307.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
308.jpg|['Guardabarros trasero izquierdo']|['Fractura']|['Reparar']
309.jpg|['Maletero']|['Abolladura']|['Reparar']
31.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
310.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
311.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
312.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
313.jpg|['Guardabarros delantero izquierdo ', 'Puerta delantera izquierda']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
314.jpg|['Puerta trasera izquierda', 'Puerta delantera izquierda']|['Abolladura', 'Deformación']|['Reparar', 'Reparar']
315.jpg|['Puerta delantera izquierda', 'Puerta trasera izquierda']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
316.jpg|['Puerta delantera izquierda', 'Puerta trasera izquierda']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
317.jpg|['Guardabarros delantero izquierdo ', 'Puerta delantera izquierda', 'Luz indicadora delantera izquierda']|['Abolladura', 'Deformación', 'Desprendimiento']|['Reparar', 'Reemplazar', 'Reemplazar']
318.jpg|['Parachoques trasero']|['Fractura']|['Reparar']
319.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
32.jpg|['Puerta delantera izquierda', 'Guardabarros delantero izquierdo ', 'Luz indicadora delantera izquierda']|['Rayón', 'Rayón', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
320.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Faros izquierdo']|['Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
321.jpg|['Puerta delantera izquierda', 'Rueda ', 'Ventana trasera izquierda', 'Ventanilla trasera izquierda      ']|['Abolladura', 'Desprendimiento', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar', 'Reemplazar']
322.jpg|['Parachoques delantero', 'Rueda ']|['Rayón', 'Rotura']|['Reparar', 'Reparar']
323.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
324.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
325.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero']|['Deformación', 'Rotura']|['Reparar', 'Reparar']
326.jpg|['Guardabarros trasero derecho', 'Luz trasera derecho']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
327.jpg|['Puerta delantera derecha', 'Marco de las puertas', 'Guardabarros trasero derecho']|['Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar']
328.jpg|['Ventana trasera derecha']|['Rotura']|['Reemplazar']
329.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero']|['Deformación', 'Desprendimiento']|['Reemplazar', 'Reparar']
33.jpg|['Guardabarros delantero izquierdo ']|['Rayón']|['Reparar']
330.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
331.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
332.jpg|['Puerta delantera izquierda', 'Marco de las puertas']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
333.jpg|['Parachoques trasero', 'Maletero']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
334.jpg|['Parachoques delantero', 'Faros derecho']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
335.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
336.jpg|['Parachoques trasero']|['Rotura']|['Reemplazar']
337.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
338.jpg|['Marco de las puertas', 'Puerta delantera derecha']|['Abolladura', 'Deformación']|['Reparar', 'Reparar']
339.jpg|['Guardabarros trasero derecho', 'Parachoques trasero', 'Luz trasera derecho']|['Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
34.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
340.jpg|['Luz trasera derecho']|['Rotura']|['Reemplazar']
341.jpg|['Guardabarros delantero izquierdo ']|['Abolladura']|['Reparar']
342.jpg|['Rueda ']|['Rotura']|['Reparar']
343.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
344.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
345.jpg|['Puerta trasera izquierda', 'Marco de las puertas']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
346.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
347.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
348.jpg|['Guardabarros delantero izquierdo ']|['Abolladura']|['Reemplazar']
349.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
35.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
350.jpg|['Puerta delantera derecha', 'Marco de las puertas']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
351.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
352.jpg|['Guardabarros trasero derecho']|['Abolladura']|['Reparar']
353.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
354.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
355.jpg|['Puerta delantera derecha', 'Puerta trasera derecha']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
356.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
357.jpg|['Puerta delantera izquierda']|['Deformación']|['Reemplazar']
358.jpg|['Parachoques trasero', 'Luz indicadora trasera izquierda']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
359.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
36.jpg|['Rueda ']|['Rotura']|['Reparar']
360.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
361.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
362.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
363.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Rueda ']|['Abolladura', 'Deformación', 'Desprendimiento']|['Reparar', 'Reemplazar', 'Reemplazar']
364.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
365.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
366.jpg|['Puerta trasera derecha', 'Guardabarros delantero derecho ', 'Puerta delantera derecha']|['Abolladura', 'Abolladura', 'Deformación']|['Reparar', 'Reparar', 'Reemplazar']
367.jpg|['Puerta delantera izquierda']|['Abolladura']|['Reparar']
368.jpg|['Guardabarros delantero derecho ', 'Capó ', 'Parachoques delantero', 'Faros derecho']|['Abolladura', 'Abolladura', 'Rayón', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
369.jpg|['Parachoques delantero', 'Capó ', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
37.jpg|['Parachoques delantero']|['Rotura']|['Reparar']
370.jpg|['Parachoques trasero', 'Maletero']|['Fractura', 'Rayón']|['Reparar', 'Reparar']
371.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
372.jpg|['Rueda ']|['Rotura']|['Reparar']
373.jpg|['Guardabarros trasero izquierdo']|['Rayón']|['Reparar']
374.jpg|['Parachoques trasero', 'Guardabarros trasero izquierdo', 'Luz trasera izquierdo']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
375.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
376.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero']|['Abolladura', 'Fractura']|['Reparar', 'Reparar']
377.jpg|['Parachoques trasero']|['Fractura']|['Reparar']
378.jpg|['Guardabarros trasero derecho', 'Puerta trasera derecha']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
379.jpg|['Parachoques delantero', 'Guardabarros delantero derecho ', 'Faros derecho']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
38.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
380.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ', 'Capó ', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
381.jpg|['Puerta trasera derecha', 'Puerta delantera derecha', 'Guardabarros trasero derecho']|['Rayón', 'Rayón', 'Rayón']|['Reparar', 'Reparar', 'Reparar']
382.jpg|['Rueda ']|['Rotura']|['Reparar']
383.jpg|['Parachoques delantero']|['Fractura']|['Reparar']
384.jpg|['Parachoques delantero']|['Rotura']|['Reemplazar']
385.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
386.jpg|['Faros izquierdo']|['Rotura']|['Reemplazar']
387.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
388.jpg|['Parachoques trasero', 'Luz trasera derecho']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
389.jpg|['Guardabarros trasero izquierdo']|['Rayón']|['Reparar']
39.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
390.jpg|['Capó ']|['Abolladura']|['Reparar']
391.jpg|['Parachoques trasero']|['Fractura']|['Reparar']
392.jpg|['Guardabarros delantero izquierdo ', 'Puerta delantera izquierda']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
393.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
394.jpg|['Parachoques trasero', 'Manija izquierda']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
395.jpg|['Parachoques delantero', 'Antiniebla delantero derecho']|['Abolladura', 'Desprendimiento']|['Reparar', 'Reemplazar']
396.jpg|['Parachoques trasero', 'Maletero']|['Deformación', 'Deformación']|['Reparar', 'Reparar']
397.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
398.jpg|['Parachoques delantero', 'Capó ', 'Guardabarros delantero izquierdo ', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
399.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
4.jpg|['Rueda ']|['Rotura']|['Reparar']
40.jpg|['Marco de las puertas']|['Deformación']|['Reparar']
400.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
401.jpg|['Rueda ']|['Rotura']|['Reparar']
402.jpg|['Parabrisas trasero']|['Abolladura']|['Reparar']
403.jpg|['Guardabarros trasero izquierdo', 'Puerta trasera izquierda']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
404.jpg|['Guardabarros trasero izquierdo', 'Puerta trasera izquierda']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
405.jpg|['Guardabarros trasero derecho', 'Puerta trasera derecha']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
406.jpg|['Parachoques trasero', 'Luz trasera derecho']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
407.jpg|['Maletero', 'Parachoques trasero']|['Abolladura', 'Rotura']|['Reparar', 'Reparar']
408.jpg|['Rueda ']|['Rotura']|['Reparar']
409.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero', 'Faros derecho']|['Deformación', 'Rotura', 'Rotura']|['Reemplazar', 'Reparar', 'Reemplazar']
41.jpg|['Capó ', 'Faros derecho']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
410.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero']|['Desprendimiento', 'Rayón']|['Reparar', 'Reparar']
411.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
412.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
413.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
414.jpg|['Puerta trasera izquierda', 'Guardabarros trasero izquierdo']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
415.jpg|['Guardabarros delantero derecho ', 'Faros derecho', 'Parachoques delantero']|['Deformación', 'Rotura', 'Rotura']|['Reemplazar', 'Reemplazar', 'Reparar']
416.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
417.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
418.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
419.jpg|['Guardabarros trasero izquierdo', 'Puerta trasera izquierda', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar']
42.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
420.jpg|['Parachoques trasero', 'Luz trasera derecho']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
421.jpg|['Parachoques trasero']|['Rotura']|['Reparar']
422.jpg|['Puerta trasera derecha', 'Guardabarros trasero derecho']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
423.jpg|['Parachoques trasero']|['Fractura']|['Reparar']
424.jpg|['Rueda ']|['Rotura']|['Reparar']
425.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
426.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
427.jpg|['Guardabarros delantero izquierdo ']|['Rayón']|['Reparar']
428.jpg|['Parachoques delantero']|['Desprendimiento']|['Reparar']
429.jpg|['Rueda ']|['Rotura']|['Reparar']
43.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
430.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
431.jpg|['Puerta delantera izquierda']|['Rayón']|['Reparar']
432.jpg|['Puerta trasera izquierda', 'Guardabarros trasero izquierdo']|['Deformación', 'Deformación']|['Reemplazar', 'Reparar']
433.jpg|['Ventana trasera derecha']|['Rotura']|['Reemplazar']
434.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
435.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
436.jpg|['Capó ', 'Parabrisas delantero', 'Espejo lateral derecho']|['Abolladura', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
437.jpg|['Guardabarros delantero derecho ']|['Deformación']|['Reparar']
438.jpg|['Guardabarros trasero derecho', 'Puerta trasera derecha']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
439.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
44.jpg|['Parachoques trasero', 'Guardabarros trasero derecho']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
440.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
441.jpg|['Guardabarros trasero derecho', 'Puerta trasera derecha', 'Puerta delantera derecha', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar', 'Reparar']
442.jpg|['Capó ', 'Parachoques delantero', 'Faros derecho']|['Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
443.jpg|['Parachoques delantero', 'Rueda ']|['Rayón', 'Rotura']|['Reparar', 'Reparar']
444.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
445.jpg|['Faros izquierdo']|['Rotura']|['Reemplazar']
446.jpg|['Puerta trasera derecha', 'Guardabarros trasero derecho']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
447.jpg|['Ventana trasera izquierda']|['Rotura']|['Reemplazar']
448.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
449.jpg|['Ventana trasera derecha']|['Rotura']|['Reparar']
45.jpg|['Puerta trasera izquierda']|['Abolladura']|['Reparar']
450.jpg|['Puerta delantera derecha', 'Puerta trasera derecha']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
451.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
452.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
453.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
454.jpg|['Guardabarros delantero izquierdo ', 'Capó ', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
455.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
456.jpg|['Guardabarros delantero izquierdo ', 'Puerta delantera izquierda']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
457.jpg|['Guardabarros delantero derecho ', 'Puerta delantera derecha', 'Rueda ']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reparar']
458.jpg|['Guardabarros trasero izquierdo', 'Puerta trasera izquierda', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar']
459.jpg|['Guardabarros trasero izquierdo', 'Puerta trasera izquierda']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
46.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
460.jpg|['Guardabarros delantero derecho ', 'Puerta delantera derecha', 'Faros derecho']|['Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
461.jpg|['Parachoques delantero', 'Capó ', 'Faros izquierdo', 'Rejilla, parrilla']|['Abolladura', 'Abolladura', 'Rotura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
462.jpg|['Faros derecho']|['Rotura']|['Reemplazar']
463.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
464.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
465.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
466.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
467.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
468.jpg|['Rueda ']|['Rotura']|['Reparar']
469.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
47.jpg|['Rueda ']|['Rotura']|['Reparar']
470.jpg|['Puerta delantera derecha']|['Abolladura']|['Reparar']
471.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
472.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
473.jpg|['Puerta trasera derecha', 'Guardabarros trasero derecho', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar']
474.jpg|['Guardabarros trasero izquierdo', 'Parachoques trasero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
475.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
476.jpg|['Guardabarros trasero izquierdo', 'Parachoques trasero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
477.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
478.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ', 'Antiniebla delantero izquierdo', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Rotura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
479.jpg|['Puerta trasera derecha']|['Rayón']|['Reparar']
48.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
480.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
481.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
482.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
483.jpg|['Puerta delantera izquierda', 'Guardabarros delantero izquierdo ']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
484.jpg|['Puerta trasera izquierda']|['Rayón']|['Reparar']
485.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
